client1,timestamp,value1,value2,value3,value4,value5,value6
807878635968266270,2022-11-06 16:35:29.992757,0.0,1.0,1.0,2.0,0.0,0.0
472235495351517199,2022-11-27 22:25:38.632103,1.0,2.0,2.0,6.0,5.0,3.0
671771279329853450,2022-11-29 02:21:53.000491,1.0,2.0,6.0,6.0,2.0,1.0
717898166011297842,2022-11-27 22:28:30.722218,1.0,0.0,2.0,1.0,2.0,1.0
907674180135309312,2022-11-17 19:04:33.150279,6.0,0.0,3.0,3.0,2.0,5.0
297915044950310912,2022-11-30 06:56:17.160091,14.0,15.0,7.0,16.0,14.0,14.0
739399070879318096,2022-11-29 06:39:25.181028,4.0,3.0,4.0,7.0,7.0,9.0
478259962334937089,2022-11-19 09:47:29.588360,2.0,2.0,2.0,2.0,1.0,2.0
758511167051399209,2022-11-28 21:53:41.683536,3.0,5.0,1.0,5.0,8.0,5.0
857958176607305738,2022-11-27 12:14:49.515026,2.0,9.0,7.0,8.0,7.0,3.0
406734834359074816,2022-11-18 02:21:10.982671,1.0,0.0,0.0,1.0,1.0,0.0
1028521675949604938,2022-11-27 18:12:43.694095,6.0,5.0,3.0,2.0,2.0,1.0
620466198668378135,2022-11-18 09:59:36.845573,4.0,1.0,2.0,1.0,1.0,3.0
874297922815148092,2022-11-15 06:54:57.191836,0.0,0.0,0.0,0.0,0.0,1.0
1012994810719772702,2022-11-23 21:58:54.105825,0.0,3.0,3.0,1.0,5.0,1.0
699495582552555551,2022-11-15 06:55:01.424274,1.0,0.0,0.0,0.0,0.0,0.0
574024827611119646,2022-11-29 20:02:50.926436,0.0,2.0,2.0,1.0,0.0,0.0
384385140157054977,2022-11-26 02:59:22.015691,1.0,1.0,0.0,0.0,1.0,0.0
681003142707413029,2022-11-25 04:05:55.591959,1.0,0.0,2.0,0.0,0.0,2.0
622881903065825297,2022-11-15 06:55:21.126358,1.0,0.0,0.0,0.0,0.0,0.0
181228869959811072,2022-11-18 17:41:29.407524,0.0,1.0,1.0,0.0,0.0,0.0
550584227997941773,2022-11-15 06:55:38.470503,0.0,1.0,0.0,0.0,0.0,0.0
545848416723271680,2022-11-21 02:55:10.155396,3.0,4.0,1.0,5.0,0.0,3.0
875652932287209522,2022-11-21 08:50:13.646931,0.0,0.0,0.0,0.0,3.0,2.0
314578645589032960,2022-11-15 06:56:15.893702,0.0,0.0,0.0,0.0,0.0,1.0
241000634260652032,2022-11-18 19:34:49.986101,0.0,1.0,1.0,0.0,1.0,6.0
943519937056628787,2022-11-25 13:23:26.756831,1.0,0.0,0.0,1.0,0.0,0.0
508278861717569562,2022-11-15 06:56:22.331205,0.0,0.0,0.0,0.0,0.0,1.0
876789259254788096,2022-11-26 00:52:24.465063,1.0,2.0,4.0,1.0,2.0,1.0
407366892228050945,2022-11-22 08:31:12.121602,6.0,4.0,2.0,1.0,5.0,3.0
404568775522910209,2022-11-15 06:57:05.278570,0.0,0.0,0.0,0.0,0.0,1.0
683187120134684679,2022-11-15 06:59:16.374702,1.0,0.0,0.0,0.0,0.0,0.0
507680914504024065,2022-11-26 13:10:56.500541,3.0,2.0,2.0,6.0,3.0,2.0
628289179712880660,2022-11-29 17:58:19.896922,5.0,10.0,9.0,7.0,5.0,9.0
777532731125923844,2022-11-29 08:51:49.061262,8.0,7.0,4.0,9.0,8.0,11.0
357665910498000898,2022-11-15 07:04:32.132749,0.0,1.0,0.0,0.0,0.0,0.0
762064767329632257,2022-11-29 16:22:28.714005,6.0,0.0,1.0,4.0,3.0,3.0
301804700129558542,2022-11-15 07:12:11.360251,0.0,0.0,0.0,0.0,1.0,0.0
803743009287045141,2022-11-24 01:31:36.523373,11.0,2.0,6.0,5.0,9.0,3.0
321405149157392384,2022-11-15 07:35:18.831005,0.0,0.0,1.0,0.0,0.0,0.0
691378284843368569,2022-11-15 07:40:51.164675,0.0,0.0,0.0,0.0,0.0,1.0
1037382620251689091,2022-11-29 02:07:25.840687,6.0,4.0,5.0,4.0,2.0,9.0
571928784492822528,2022-11-15 09:33:12.746266,0.0,1.0,0.0,0.0,0.0,0.0
830951755042390066,2022-11-20 11:24:59.871404,7.0,3.0,4.0,6.0,3.0,3.0
581060513459601408,2022-11-29 18:02:06.680307,17.0,16.0,6.0,17.0,6.0,16.0
496261809041571851,2022-11-25 15:31:22.268908,4.0,0.0,3.0,0.0,0.0,0.0
558093662161207296,2022-11-16 05:57:02.202266,0.0,0.0,1.0,1.0,0.0,0.0
673408405737832488,2022-11-29 15:35:07.905064,8.0,7.0,7.0,2.0,5.0,6.0
697954842123042817,2022-11-29 16:22:35.037972,11.0,8.0,10.0,7.0,11.0,9.0
974327761831358615,2022-11-24 03:38:53.785707,6.0,8.0,5.0,1.0,0.0,2.0
1032939096802344980,2022-11-15 14:48:51.275005,0.0,0.0,0.0,0.0,1.0,0.0
678401234171854888,2022-11-15 17:02:54.835370,1.0,0.0,0.0,0.0,0.0,0.0
332304983766728704,2022-11-22 09:21:01.562152,4.0,4.0,2.0,3.0,1.0,1.0
586016169182494720,2022-11-17 03:08:26.736297,1.0,2.0,2.0,4.0,1.0,1.0
684264668654469129,2022-11-15 17:41:12.868267,0.0,1.0,0.0,0.0,0.0,0.0
510946068557594635,2022-11-22 16:32:40.783571,4.0,3.0,1.0,3.0,1.0,2.0
896969690470023179,2022-11-19 15:08:02.893710,1.0,1.0,2.0,3.0,2.0,5.0
546857610209656834,2022-11-27 01:23:08.136745,5.0,7.0,2.0,10.0,10.0,3.0
737413108775256135,2022-11-23 01:10:16.850409,3.0,2.0,1.0,2.0,2.0,3.0
892495313133256714,2022-11-19 18:54:32.668825,0.0,0.0,0.0,2.0,2.0,0.0
805375805805821952,2022-11-19 03:30:05.896439,0.0,0.0,3.0,1.0,1.0,0.0
477957232592683008,2022-11-20 19:45:25.130176,4.0,1.0,6.0,3.0,2.0,2.0
983155939072933951,2022-11-23 23:27:33.273892,0.0,0.0,0.0,1.0,0.0,1.0
387047726614839297,2022-11-17 19:42:03.956078,0.0,0.0,0.0,1.0,0.0,0.0
217332973010288641,2022-11-23 18:46:17.908819,0.0,1.0,1.0,1.0,0.0,0.0
191447062716481537,2022-11-22 09:44:03.949430,4.0,2.0,3.0,2.0,5.0,1.0
945315529109950554,2022-11-23 23:21:10.728943,2.0,5.0,1.0,4.0,5.0,5.0
838197163401674823,2022-11-19 09:01:25.644241,0.0,0.0,1.0,1.0,0.0,0.0
424742916431413248,2022-11-18 00:12:40.194886,0.0,0.0,0.0,0.0,0.0,1.0
495829670361694208,2022-11-27 08:45:14.200672,3.0,3.0,3.0,2.0,9.0,2.0
368588204019941378,2022-11-26 03:08:09.306880,1.0,2.0,4.0,2.0,2.0,2.0
685431271303806992,2022-11-30 04:06:31.068275,4.0,1.0,5.0,2.0,2.0,6.0
642805798547750912,2022-11-21 20:04:54.283706,0.0,1.0,0.0,0.0,0.0,1.0
856339817574039572,2022-11-30 01:09:26.687569,8.0,4.0,10.0,10.0,3.0,10.0
775848479939493909,2022-11-21 01:45:45.537545,1.0,0.0,0.0,0.0,1.0,0.0
926708172511674378,2022-11-26 04:10:37.904653,6.0,9.0,3.0,1.0,2.0,5.0
609082055313326083,2022-11-29 17:11:54.550944,2.0,1.0,1.0,5.0,4.0,3.0
1033039470242566216,2022-11-29 16:44:59.033481,3.0,6.0,1.0,4.0,3.0,1.0
689770032699408437,2022-11-22 07:00:50.097967,0.0,0.0,0.0,0.0,1.0,0.0
784624817046421515,2022-11-23 08:20:23.572960,0.0,0.0,0.0,1.0,0.0,0.0
1023239952135376977,2022-11-27 22:25:38.933507,0.0,1.0,0.0,0.0,0.0,0.0
866237375117656074,2022-11-28 11:38:32.375605,0.0,0.0,0.0,0.0,1.0,0.0
